,article_number,data_set,label_expert_a,label_expert_b,label_expert_c,label_council,newspaper_name,article_link
10,11,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/sport/2019/sport/wm-sieg-ueber-spanien-unsere-handballer-sind-gruppen-sieger-59726438.bild.html
11,12,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': True, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/spiele/spiele-test/spiele-test/super-smash-bros-ultimate-die-groesste-nintendo-party-aller-zeiten-58717340.bild.html
12,13,expert,"{'nat-politik': False, 'int-politik': True, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}",None,Bild,https://www.bild.de/bild-plus/politik/ausland/politik-ausland/brexit-poker-warum-theresa-may-in-einer-woche-weg-sein-koennte-59690192.bild.html
13,14,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': True, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/regional/bremen/bremen-aktuell/1-knacki-wird-schiedsrichter-ausbildung-hinter-gittern-jva-bremen-58925912.bild.html
14,15,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/sport/mehr-sport/basketball/93-87-muenchen-schlaegt-mailand-derrick-dunkt-bayern-zum-sieg-59498352.bild.html
15,16,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}",None,Bild,https://www.bild.de/bild-plus/unterhaltung/erotik/erotik/sie-muss-es-ja-wissen-das-raet-eine-pornoregisseurin-fuer-besseren-sex-58841692.bild.html
16,17,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/sport/fussball/fussball/werders-double-held-ailton-pizarro-soll-bleiben-und-kruse-auch-59724904.bild.html
17,18,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}",None,Bild,https://www.bild.de/bild-plus/unterhaltung/tv/tv/charit-star-jannik-schuemann-schoenheit-in-deutschland-hinderlich-60471036.bild.html
18,19,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': True, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': True, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/reise/2019/reise/3-teil-der-serie-ueber-urlaubsaerger-laerm-und-schmutz-statt-erholung-im-hotel-59900008.bild.html
19,20,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': True}",None,Bild,https://www.bild.de/bild-plus/spiele/spiele-news/spiele-news/landwirtschafts-simulator-19-die-besten-tipps-58845012.bild.html
20,21,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': True, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/sport/wintersport/wintersport/ski-nordisch-ingvild-flugstad-oestberg-siegt-bei-tour-de-ski-59385748.bild.html
21,22,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': True, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': True, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': True, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/regional/leipzig/leipzig-news/streit-um-sachsens-superschnueffler-wie-gut-ist-ihr-riecher-wirklich-59534638.bild.html
22,23,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': True, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': True, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': True, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': False, 'other': False}",None,Bild,https://www.bild.de/regional/frankfurt/frankfurt-aktuell/battenberg-zwei-fussgaenger-von-mercedes-erfasst-tot-59193894.bild.html
23,24,expert,"{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}","{'nat-politik': False, 'int-politik': False, 'wirtschaft': False, 'sport': False, 'ungluecke': False, 'recht': False, 'wissenschaft': False, 'soziales': False, 'familie': False, 'religion': False, 'umwelt': False, 'verkehrssysteme': False, 'krieg': False, 'sicherheit': False, 'kultur': False, 'digitales': False, 'human-interest': True, 'other': False}",None,Bild,https://www.bild.de/unterhaltung/royals/royals/herzogin-meghan-heute-babyshower-in-new-york-60226696.bild.html
